Timestamp;Serial_Number;Spectrum_H29_2R;Spectrum_H29_2T;Spectrum_H56_2R;Spectrum_H56_2T;Spectrum_H57_2R;Spectrum_H57_2T;Spectrum_H58_2R;Spectrum_H58_2T;result_H29_2R;result_H29_2T
02/03/2018 11:16;664;0,005684887;0,003582062;0,006776467;0,006435905;0,007683833;0,008451626;0,004948708;0,006481649;0,01;0,005
02/03/2018 11:17;664;0,00529535;0,004932173;0,006106189;0,009485114;0,003434228;0,007939726;0,008026021;0,011386434;0,01;0,005
02/03/2018 11:18;664;0,003440362;0,002912695;0,006622684;0,009302711;0,010210842;0,011266201;0,007961285;0,004485782;0,01;0,005
05/03/2018 07:42;11955;0,007455071;0,004046415;0,005582244;0,011148532;0,005209666;0,006265591;0,006771616;0,008961829;0,01;0,005
05/03/2018 07:43;11955;0,007982813;0,00236683;0,008592006;0,00705735;0,006530786;0,008893737;0,006261098;0,007048056;0,01;0,005
05/03/2018 07:44;11955;0,001528735;0,003040586;0,003041178;0,005845557;0,005982015;0,008433721;0,006792418;0,003937051;0,01;0,005
05/03/2018 07:45;11955;0,003500745;0,003608199;0,006551187;0,007265343;0,005858453;0,00842568;0,002796556;0,006132221;0,01;0,005
05/03/2018 07:46;11956;0,006557905;0,002734012;0,005384315;0,011986123;0,005017849;0,008997708;0,005531964;0,008424324;0,01;0,005
05/03/2018 07:47;11956;0,003767146;0,004315823;0,009803663;0,008507396;0,00693603;0,011716157;0,006037687;0,007978003;0,01;0,005
05/03/2018 07:47;11956;0,00509522;0,004102238;0,004945761;0,008105408;0,00317376;0,012794505;0,008503322;0,009085282;0,01;0,005
05/03/2018 07:48;11956;0,006028614;0,007315886;0,010279199;0,009345409;0,00182449;0,008724535;0,007917704;0,007277231;0,01;0,005
05/03/2018 07:49;11957;0,005615144;0,004107566;0,007844539;0,005701721;0,0100097;0,005778968;0,004415469;0,004676572;0,01;0,005
05/03/2018 07:50;11957;0,003570693;0,004908891;0,00634396;0,005282785;0,005031388;0,006418177;0,006489673;0,009755538;0,01;0,005
